TR1,TR2,TP1,TP2
43934529,216352340,43867940,216284863
43996210,216253784,43929627,216186318
43928916,216332853,43862342,216265388
43962531,216282351,43895949,216214877
43964437,216282489,43897853,216215019
44029832,216384012,43963234,216316536
44020470,216331928,43953887,216264458
43958376,216373535,43891795,216306072
43980246,216345019,43913662,216277546
43929819,216401593,43863231,216334117
43914693,216390089,43848111,216322619
44081351,216313536,44014758,216246073
43961317,216340398,43894729,216272923
43968775,216441471,43902186,216374009
44063727,216334762,43997134,216267281
44000927,216485100,43934347,216417633
43952518,216289805,43885926,216222330
44067440,216718113,44000850,216650640
44000580,216226891,43933997,216159420
43963342,216325576,43896758,216258098
44040688,216378794,43974105,216311312
44078085,216661902,44011494,216594427
43996172,216382338,43929589,216314868
44062237,216184694,43995651,216117219
43889743,216352586,43823158,216285105
43992673,216349501,43926088,216282015
44001878,216230723,43935292,216163242
44035709,216293662,43969124,216226179
44020891,216372994,43954308,216305509
44013222,216380140,43946637,216312666
43998453,216278165,43931873,216210699
44019042,216397880,43952451,216330398
43990958,216282089,43924367,216214610
43945419,216396745,43878839,216329269
44063021,216343152,43996416,216275667
44031009,216343927,43964427,216276447
44072852,216411652,44006271,216344172
43950870,216422519,43884290,216355050
43997763,216278366,43931175,216210877
43962164,216282216,43895573,216214732
44000805,216224650,43934195,216157147
44047004,216416519,43980414,216349028
44053746,216352426,43987169,216284942
44025185,216347191,43958599,216279711
44074499,216385433,44007912,216317949
43971742,216426747,43905158,216359266
44131107,216437875,44064523,216370397
43930065,216274895,43863476,216207407
43997253,216291150,43930664,216223675
44008610,216401664,43942024,216334174
44057378,216348791,43990783,216281310
44054381,216343602,43987792,216276115
44021072,216482380,43954500,216414896
43982563,216313018,43915982,216245533
44082257,216256342,44015666,216188847
44062629,216167410,43996052,216099931
43997973,216333965,43931392,216266475
43995762,216215333,43929186,216147854
44000126,216249893,43933539,216182402
43978276,216409479,43911679,216341980
43986601,216274685,43920013,216207191
43963645,216278690,43897062,216211203
43965231,216285299,43898650,216217809
43947863,216313403,43881279,216245929
44008815,216404536,43942224,216337041
43927407,216354354,43860826,216286865
44022641,216417842,43956052,216350351
44051265,216295522,43984679,216228031
43928283,216318672,43861704,216251173
43966496,216280456,43899906,216212960
43973950,216370287,43907362,216302786
44009534,216260965,43942957,216193474
44003620,216368769,43937037,216301276
43998661,216340459,43932084,216272955
44003908,216392037,43937322,216324540
43911336,216349444,43844747,216281944
44029633,216446697,43963049,216379199
43915942,216400636,43849363,216333146
44025462,216314166,43958882,216246666
44063184,216508891,43996608,216441392
44019931,216324310,43953343,216256805
43994634,216360367,43928040,216292854
44029787,216345165,43963203,216277669
44044465,216418561,43977888,216351055
44034540,216464838,43967947,216397332
43916533,216344756,43849959,216277259
44100612,216563623,44034025,216496124
44085012,216402603,44018425,216335084
43878950,216217487,43812359,216149978
43926271,216297140,43859694,216229633
44004808,216244723,43938222,216177208
44003482,216249110,43936896,216181606
44108110,216560723,44041545,216493234
44008417,216394182,43941829,216326687
43995795,216391968,43929218,216324461
43878236,216283213,43811669,216215716
44005965,216321889,43939390,216254387
43994352,216293559,43927767,216226064
43920669,216477339,43854078,216409827
43909981,216464972,43843405,216397475
44019184,216467896,43952596,216400400
43983511,216415515,43916939,216348009
44082959,216655529,44016369,216588017
44003239,216332807,43936655,216265305
44017292,216262946,43950709,216195444
44005208,216388175,43938632,216320680
44034592,216290696,43968013,216223200
43984640,216260268,43918056,216192768
44036046,216368098,43969464,216300594
44042352,216316736,43975769,216249232
43993338,216387253,43926760,216319750
44013547,216325570,43946965,216258069
44077286,216321743,44010705,216254234
43987956,216333748,43921367,216266252
43998550,216243785,43931984,216176298
43998966,216350384,43932390,216282890
44021393,216313130,43954801,216245615
44023230,216352750,43956658,216285250
44031682,216319718,43965111,216252222
44028913,216374723,43962325,216307215
44071669,216287923,44005084,216220427
43977169,216249301,43910599,216181807
43932852,216406267,43866270,216338764
44031400,216347139,43964820,216279640
44021928,216437497,43955352,216370008
44020173,216375278,43953581,216307763
43955438,216330947,43888854,216263442
43951671,216437621,43885105,216370121
44078966,216327211,44012388,216259722
43995802,216345879,43929216,216278374
44057011,216670199,43990418,216602701
43932880,216347361,43866293,216279856
44109262,216352758,44042680,216285234
43961566,216246468,43894982,216178978
44023315,216295330,43956732,216227821
43929381,216381574,43862798,216314075
43879530,216269642,43812935,216202134
44002231,216379882,43935645,216312393
44004597,216461995,43938022,216394507
43920396,216457644,43853809,216390132
44043556,216359560,43976970,216292060
43979353,216324447,43912765,216256935
44027800,216380957,43961211,216313448
43990247,216393412,43923662,216325913
44066381,216744288,43999803,216676787
44019116,216281091,43952536,216213588
44004083,216417983,43937490,216350477
44005424,216405369,43938850,216337872
44030816,216341579,43964231,216274080
44072049,216414516,44005471,216347023
44036481,216205868,43969892,216138367
44024965,216318765,43958382,216251259
43997047,216310318,43930474,216242825
44065924,216334632,43999353,216267132
44032889,216302648,43966311,216235143
44041275,216349553,43974680,216282053
43914495,216420533,43847911,216353025
44030434,216271314,43963842,216203806
43983579,216363212,43916996,216295717
44037095,216368083,43970509,216300569
44083918,216465130,44017335,216397618
44002227,216394757,43935643,216327245
43934339,216194340,43867755,216126845
44040531,216343641,43973947,216276141
43995197,216362869,43928615,216295363
43979611,216440918,43913025,216373413
44001362,216293206,43934780,216225710
44013371,216314487,43946787,216246981
43948079,216497534,43881491,216430033
43993425,216459367,43926850,216391855
43994207,216387923,43927626,216320417
43881208,216425653,43814637,216358152
43991399,216345160,43924814,216277657
44032885,216476737,43966289,216409227
43970946,216472627,43904365,216405118
44096354,216550490,44029761,216482974
44006680,216394905,43940105,216327400
44021451,216493291,43954877,216425781
43929749,216337184,43863165,216269675
43980363,216397683,43913780,216330165
44000807,216421271,43934215,216353753
44100570,216354268,44033987,216286758
44074332,216410191,44007753,216342692
44075184,216228097,44008605,216160592
44013066,216286637,43946487,216219126
44082545,216178741,44015967,216111247
43935952,216308967,43869373,216241456
44053036,216349571,43986462,216282068
43927966,216410653,43861379,216343138
44101330,216356595,44034742,216289070
44044785,216361414,43978194,216293903
44079857,216489678,44013265,216422159
43933535,216289353,43866958,216221857
43966964,216268242,43900371,216200716
44000410,216336162,43933833,216268646
43923808,216399972,43857218,216332448
44048464,216344946,43981884,216277424
43914043,216379002,43847470,216311493
44033001,216280540,43966414,216213015
44034560,216226739,43967983,216159232
44098483,216409089,44031898,216341581
44051842,216674360,43985261,216606846
44035436,216409169,43968853,216341652
43924762,216297629,43858184,216230118
44042982,216331973,43976413,216264474
43907874,216318614,43841296,216251102
43980098,216249973,43913514,216182462
44001574,216384651,43934997,216317146
44028185,216261280,43961600,216193767
43989719,216361179,43923151,216293673
44132015,216539393,44065432,216471889
43920051,216503563,43853464,216436045
43926625,216404824,43860041,216337311
44034592,216341916,43968001,216274400
44074472,216389579,44007885,216322072
44035962,216405051,43969384,216337542
44037389,216319151,43970812,216251635
43923172,216330983,43856582,216263452
