0.14,-57.63,-77.43,117.83,0.127,0.20,-56.24,-73.32,147.53,0.254
0.16,-56.79,-78.59,87.68,0.127,0.21,-55.96,-73.80,131.39,0.254
0.17,-58.77,-76.55,120.17,0.127,0.18,-55.94,-72.07,131.94,0.254
0.16,-57.71,-77.41,88.04,0.127,0.20,-56.10,-73.45,130.72,0.254
0.16,-57.34,-73.48,97.04,0.127,0.20,-55.99,-76.13,125.19,0.254
0.16,-57.87,-75.66,91.75,0.127,0.19,-56.07,-73.35,132.06,0.254
0.16,-57.91,-77.79,101.25,0.127,0.22,-56.30,-76.79,123.58,0.254
0.18,-58.12,-75.95,112.07,0.127,0.20,-56.35,-73.05,131.31,0.254
0.12,-57.20,-75.06,100.32,0.127,0.21,-56.69,-75.55,123.58,0.254
0.17,-57.43,-73.06,106.98,0.127,0.18,-56.46,-72.58,118.65,0.254
0.16,-58.00,-76.53,90.35,0.127,0.19,-56.21,-74.79,144.75,0.254
0.17,-57.47,-77.78,92.41,0.127,0.17,-56.64,-75.68,120.86,0.254
0.16,-58.10,-73.89,104.16,0.127,0.21,-55.98,-74.00,166.36,0.254
0.15,-56.94,-76.14,94.05,0.127,0.20,-56.87,-75.34,122.11,0.254
0.17,-57.60,-73.44,97.00,0.127,0.18,-56.18,-73.70,194.54,0.254
0.14,-57.74,-76.11,95.64,0.127,0.18,-56.76,-74.91,121.75,0.254
0.16,-58.01,-81.01,62.94,0.127,0.21,-56.25,-74.05,128.08,0.254
0.14,-57.17,-76.74,95.39,0.127,0.18,-56.54,-77.85,118.06,0.254
0.14,-57.91,-73.97,100.48,0.127,0.21,-55.89,-74.36,191.17,0.254
0.16,-58.24,-75.19,83.77,0.127,0.20,-56.41,-77.59,152.00,0.254
0.17,-57.33,-73.82,94.21,0.127,0.19,-55.82,-73.94,233.05,0.254
0.15,-57.73,-74.93,101.18,0.127,0.18,-56.70,-77.20,120.75,0.254
0.18,-57.47,-73.59,106.23,0.127,0.22,-55.70,-74.70,139.37,0.254
0.12,-57.65,-76.60,88.87,0.127,0.19,-56.43,-77.94,149.96,0.254
0.15,-58.79,-75.84,91.25,0.127,0.18,-55.98,-73.88,192.04,0.254
0.14,-57.39,-75.16,98.57,0.127,0.19,-56.62,-78.58,114.53,0.254
0.15,-58.62,-74.48,107.95,0.127,0.21,-55.77,-73.63,197.71,0.254
0.15,-58.04,-77.36,94.16,0.127,0.21,-56.64,-72.65,169.07,0.254
0.15,-57.52,-73.46,98.90,0.127,0.20,-56.04,-74.99,223.50,0.254
0.17,-57.45,-77.64,87.04,0.127,0.19,-56.73,-72.35,119.47,0.254
0.17,-57.40,-75.06,112.75,0.127,0.19,-55.87,-75.35,174.71,0.254
0.16,-57.72,-76.45,112.17,0.127,0.19,-56.70,-73.60,122.47,0.254
0.16,-58.48,-75.74,102.80,0.127,0.21,-55.92,-74.13,194.46,0.254
0.14,-58.06,-77.91,82.20,0.127,0.20,-56.22,-73.52,129.19,0.254
